Actual_Energy,Predicted_Energy,Confidence,CBIS_Decision,CBIS_Energy_J
6435.3,6434.5376,0.9999,STAY_ACTIVE,6434.53759765625
7378.5,7375.6753,0.9996,STAY_ACTIVE,7375.67529296875
5755.5,5747.739,0.9987,STAY_ACTIVE,5747.73876953125
7932.9,7920.7207,0.9985,STAY_ACTIVE,7920.720703125
3467.7000000000003,3472.7654,0.9985,SCALE_DOWN,3000.0
5568.0,5564.7256,0.9994,STAY_ACTIVE,5564.7255859375
3405.0,3407.396,0.9993,SCALE_DOWN,3000.0
3324.0,3326.2434,0.9993,SCALE_DOWN,3000.0
20622.0,20701.72,0.9961,STAY_ACTIVE,20701.720703125
5916.0,5942.414,0.9955,STAY_ACTIVE,5942.4140625
19336.800000000003,19383.912,0.9976,STAY_ACTIVE,19383.912109375
4067.7,4067.2952,0.9999,SCALE_DOWN,3000.0
18877.800000000003,18919.188,0.9978,STAY_ACTIVE,18919.1875
4070.4,4082.9946,0.9969,SCALE_DOWN,3000.0
3838.2,3838.8599,0.9998,SCALE_DOWN,3000.0
10380.6,10373.562,0.9993,STAY_ACTIVE,10373.5615234375
5754.9,5756.834,0.9997,STAY_ACTIVE,5756.833984375
3366.2999999999997,3370.156,0.9989,SCALE_DOWN,3000.0
3831.9,3826.5803,0.9986,SCALE_DOWN,3000.0
9014.1,9024.669,0.9988,STAY_ACTIVE,9024.6689453125
5103.299999999999,5093.6807,0.9981,STAY_ACTIVE,5093.6806640625
6277.799999999999,6270.1226,0.9988,STAY_ACTIVE,6270.12255859375
3822.6,3819.2158,0.9991,SCALE_DOWN,3000.0
12136.8,12180.265,0.9964,STAY_ACTIVE,12180.2646484375
10437.6,10448.066,0.999,STAY_ACTIVE,10448.06640625
3413.7000000000003,3415.3743,0.9995,SCALE_DOWN,3000.0
10515.0,10475.703,0.9963,STAY_ACTIVE,10475.703125
4316.7,4314.34,0.9995,SCALE_DOWN,3000.0
3693.3,3701.3813,0.9978,SCALE_DOWN,3000.0
6960.9,6933.241,0.996,STAY_ACTIVE,6933.2412109375
4410.6,4402.6763,0.9982,SCALE_DOWN,3000.0
8348.7,8330.045,0.9978,STAY_ACTIVE,8330.044921875
3972.3,3984.3572,0.997,SCALE_DOWN,3000.0
4441.8,4441.9287,1.0,SCALE_DOWN,3000.0
5494.8,5476.8994,0.9967,STAY_ACTIVE,5476.8994140625
3757.8,3763.902,0.9984,SCALE_DOWN,3000.0
3395.1000000000004,3398.844,0.9989,SCALE_DOWN,3000.0
6933.0,6937.2383,0.9994,STAY_ACTIVE,6937.23828125
21000.0,21006.621,0.9997,STAY_ACTIVE,21006.62109375
3608.4,3614.861,0.9982,SCALE_DOWN,3000.0
9754.8,9751.294,0.9996,STAY_ACTIVE,9751.2939453125
3797.1,3797.769,0.9998,SCALE_DOWN,3000.0
5054.7,5057.1064,0.9995,STAY_ACTIVE,5057.1064453125
17413.5,17315.365,0.9944,STAY_ACTIVE,17315.365234375
3349.5,3349.8499,0.9999,SCALE_DOWN,3000.0
